"","date","common_holiday"
"1",2001-01-22,"Non-holiday"
"2",2001-01-23,"Non-holiday"
"3",2001-01-24,"Non-holiday"
"4",2001-01-25,"Non-holiday"
"5",2001-01-26,"Non-holiday"
"6",2001-01-27,"Non-holiday"
"7",2001-01-28,"Non-holiday"
"8",2001-01-29,"Non-holiday"
"9",2001-01-30,"Non-holiday"
"10",2001-01-31,"Non-holiday"
"11",2001-02-01,"Non-holiday"
"12",2001-02-02,"Non-holiday"
"13",2001-02-03,"Non-holiday"
"14",2001-02-04,"Non-holiday"
"15",2001-02-05,"Non-holiday"
"16",2001-02-06,"Non-holiday"
"17",2001-02-07,"Non-holiday"
"18",2001-02-08,"Non-holiday"
"19",2001-02-09,"Non-holiday"
"20",2001-02-10,"Non-holiday"
"21",2001-02-11,"Non-holiday"
"22",2001-02-12,"Non-holiday"
"23",2001-02-13,"Non-holiday"
"24",2001-02-14,"Non-holiday"
"25",2001-02-15,"Non-holiday"
"26",2001-02-16,"Non-holiday"
"27",2001-02-17,"Non-holiday"
"28",2001-02-18,"Non-holiday"
"29",2001-02-19,"Holiday"
"30",2001-02-20,"Non-holiday"
"31",2001-02-21,"Non-holiday"
"32",2001-02-22,"Non-holiday"
"33",2001-02-23,"Non-holiday"
"34",2001-02-24,"Non-holiday"
"35",2001-02-25,"Non-holiday"
"36",2001-02-26,"Non-holiday"
"37",2001-02-27,"Non-holiday"
"38",2001-02-28,"Non-holiday"
"39",2001-03-01,"Non-holiday"
"40",2001-03-02,"Non-holiday"
"41",2001-03-03,"Non-holiday"
"42",2001-03-04,"Non-holiday"
"43",2001-03-05,"Non-holiday"
"44",2001-03-06,"Non-holiday"
"45",2001-03-07,"Non-holiday"
"46",2001-03-08,"Non-holiday"
"47",2001-03-09,"Non-holiday"
"48",2001-03-10,"Non-holiday"
"49",2001-03-11,"Non-holiday"
"50",2001-03-12,"Non-holiday"
"51",2001-03-13,"Non-holiday"
"52",2001-03-14,"Non-holiday"
"53",2001-03-15,"Non-holiday"
"54",2001-03-16,"Non-holiday"
"55",2001-03-17,"Non-holiday"
"56",2001-03-18,"Non-holiday"
"57",2001-03-19,"Non-holiday"
"58",2001-03-20,"Non-holiday"
"59",2001-03-21,"Non-holiday"
"60",2001-03-22,"Non-holiday"
"61",2001-03-23,"Non-holiday"
"62",2001-03-24,"Non-holiday"
"63",2001-03-25,"Non-holiday"
"64",2001-03-26,"Non-holiday"
"65",2001-03-27,"Non-holiday"
"66",2001-03-28,"Non-holiday"
"67",2001-03-29,"Non-holiday"
"68",2001-03-30,"Non-holiday"
"69",2001-03-31,"Non-holiday"
"70",2001-04-01,"Non-holiday"
"71",2001-04-02,"Non-holiday"
"72",2001-04-03,"Non-holiday"
"73",2001-04-04,"Non-holiday"
"74",2001-04-05,"Non-holiday"
"75",2001-04-06,"Non-holiday"
"76",2001-04-07,"Non-holiday"
"77",2001-04-08,"Non-holiday"
"78",2001-04-09,"Non-holiday"
"79",2001-04-10,"Non-holiday"
"80",2001-04-11,"Non-holiday"
"81",2001-04-12,"Non-holiday"
"82",2001-04-13,"Non-holiday"
"83",2001-04-14,"Non-holiday"
"84",2001-04-15,"Non-holiday"
"85",2001-04-16,"Non-holiday"
"86",2001-04-17,"Non-holiday"
"87",2001-04-18,"Non-holiday"
"88",2001-04-19,"Non-holiday"
"89",2001-04-20,"Non-holiday"
"90",2001-04-21,"Non-holiday"
"91",2001-04-22,"Non-holiday"
"92",2001-04-23,"Non-holiday"
"93",2001-04-24,"Non-holiday"
"94",2001-04-25,"Non-holiday"
"95",2001-04-26,"Non-holiday"
"96",2001-04-27,"Non-holiday"
"97",2001-04-28,"Non-holiday"
"98",2001-04-29,"Non-holiday"
"99",2001-04-30,"Non-holiday"
"100",2001-05-01,"Non-holiday"
"101",2001-05-02,"Non-holiday"
"102",2001-05-03,"Non-holiday"
"103",2001-05-04,"Non-holiday"
"104",2001-05-05,"Non-holiday"
"105",2001-05-06,"Non-holiday"
"106",2001-05-07,"Non-holiday"
"107",2001-05-08,"Non-holiday"
"108",2001-05-09,"Non-holiday"
"109",2001-05-10,"Non-holiday"
"110",2001-05-11,"Non-holiday"
"111",2001-05-12,"Non-holiday"
"112",2001-05-13,"Non-holiday"
"113",2001-05-14,"Non-holiday"
"114",2001-05-15,"Non-holiday"
"115",2001-05-16,"Non-holiday"
"116",2001-05-17,"Non-holiday"
"117",2001-05-18,"Non-holiday"
"118",2001-05-19,"Non-holiday"
"119",2001-05-20,"Non-holiday"
"120",2001-05-21,"Non-holiday"
"121",2001-05-22,"Non-holiday"
"122",2001-05-23,"Non-holiday"
"123",2001-05-24,"Non-holiday"
"124",2001-05-25,"Non-holiday"
"125",2001-05-26,"Non-holiday"
"126",2001-05-27,"Non-holiday"
"127",2001-05-28,"Holiday"
"128",2001-05-29,"Non-holiday"
"129",2001-05-30,"Non-holiday"
"130",2001-05-31,"Non-holiday"
"131",2001-06-01,"Non-holiday"
"132",2001-06-02,"Non-holiday"
"133",2001-06-03,"Non-holiday"
"134",2001-06-04,"Non-holiday"
"135",2001-06-05,"Non-holiday"
"136",2001-06-06,"Non-holiday"
"137",2001-06-07,"Non-holiday"
"138",2001-06-08,"Non-holiday"
"139",2001-06-09,"Non-holiday"
"140",2001-06-10,"Non-holiday"
"141",2001-06-11,"Non-holiday"
"142",2001-06-12,"Non-holiday"
"143",2001-06-13,"Non-holiday"
"144",2001-06-14,"Non-holiday"
"145",2001-06-15,"Non-holiday"
"146",2001-06-16,"Non-holiday"
"147",2001-06-17,"Non-holiday"
"148",2001-06-18,"Non-holiday"
"149",2001-06-19,"Non-holiday"
"150",2001-06-20,"Non-holiday"
"151",2001-06-21,"Non-holiday"
"152",2001-06-22,"Non-holiday"
"153",2001-06-23,"Non-holiday"
"154",2001-06-24,"Non-holiday"
"155",2001-06-25,"Non-holiday"
"156",2001-06-26,"Non-holiday"
"157",2001-06-27,"Non-holiday"
"158",2001-06-28,"Non-holiday"
