"","date","lag_14_name","Rides","name","description"
"1",2016-01-01,"l14_40040",7.121,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"2",2016-01-04,"l14_40040",6.831,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"3",2016-01-05,"l14_40040",6.606,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"4",2016-01-06,"l14_40040",4.945,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"5",2016-01-07,"l14_40040",2.206,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"6",2016-01-08,"l14_40040",0.7,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"7",2016-01-11,"l14_40040",6.007,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"8",2016-01-12,"l14_40040",6.268,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"9",2016-01-13,"l14_40040",6.082,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"10",2016-01-14,"l14_40040",4.744,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"11",2016-01-15,"l14_40040",1.225,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"12",2016-01-18,"l14_40040",8.662,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"13",2016-01-19,"l14_40040",8.734,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"14",2016-01-20,"l14_40040",8.423,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"15",2016-01-21,"l14_40040",8.391,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"16",2016-01-22,"l14_40040",7.969,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"17",2016-01-25,"l14_40040",8.559,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"18",2016-01-26,"l14_40040",8.543,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"19",2016-01-27,"l14_40040",8.845,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"20",2016-01-28,"l14_40040",8.241,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"21",2016-01-29,"l14_40040",7.562,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"22",2016-02-01,"l14_40040",4.074,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"23",2016-02-02,"l14_40040",8.52,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"24",2016-02-03,"l14_40040",8.48,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"25",2016-02-04,"l14_40040",8.063,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"26",2016-02-05,"l14_40040",7.794,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"27",2016-02-08,"l14_40040",8.492,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"28",2016-02-09,"l14_40040",8.431,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"29",2016-02-10,"l14_40040",8.359,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"30",2016-02-11,"l14_40040",8.148,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"31",2016-02-12,"l14_40040",7.607,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"32",2016-02-15,"l14_40040",8.512,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"33",2016-02-16,"l14_40040",8.642,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"34",2016-02-17,"l14_40040",8.401,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"35",2016-02-18,"l14_40040",8.229,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"36",2016-02-19,"l14_40040",7.468,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"37",2016-02-22,"l14_40040",8.192,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"38",2016-02-23,"l14_40040",8.28,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"39",2016-02-24,"l14_40040",8.239,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"40",2016-02-25,"l14_40040",7.86,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"41",2016-02-26,"l14_40040",7.341,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"42",2016-02-29,"l14_40040",5.188,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"43",2016-03-01,"l14_40040",8.396,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"44",2016-03-02,"l14_40040",8.394,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"45",2016-03-03,"l14_40040",8.153,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"46",2016-03-04,"l14_40040",7.731,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"47",2016-03-07,"l14_40040",8.15,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"48",2016-03-08,"l14_40040",8.179,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"49",2016-03-09,"l14_40040",8.11,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"50",2016-03-10,"l14_40040",7.885,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"51",2016-03-11,"l14_40040",7.555,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"52",2016-03-14,"l14_40040",8.322,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"53",2016-03-15,"l14_40040",8.255,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"54",2016-03-16,"l14_40040",8.239,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"55",2016-03-17,"l14_40040",8.08,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"56",2016-03-18,"l14_40040",7.562,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"57",2016-03-21,"l14_40040",8.343,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"58",2016-03-22,"l14_40040",8.161,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"59",2016-03-23,"l14_40040",8.139,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"60",2016-03-24,"l14_40040",8.16,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"61",2016-03-25,"l14_40040",7.821,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"62",2016-03-28,"l14_40040",8.62,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"63",2016-03-29,"l14_40040",8.425,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"64",2016-03-30,"l14_40040",8.43,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"65",2016-03-31,"l14_40040",8.317,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"66",2016-04-01,"l14_40040",7.596,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"67",2016-04-04,"l14_40040",8.619,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"68",2016-04-05,"l14_40040",8.286,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"69",2016-04-06,"l14_40040",8.374,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"70",2016-04-07,"l14_40040",7.906,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"71",2016-04-08,"l14_40040",6.251,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"72",2016-04-11,"l14_40040",8.705,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"73",2016-04-12,"l14_40040",8.173,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"74",2016-04-13,"l14_40040",8.102,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"75",2016-04-14,"l14_40040",7.672,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"76",2016-04-15,"l14_40040",7.495,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"77",2016-04-18,"l14_40040",8.674,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"78",2016-04-19,"l14_40040",8.55,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"79",2016-04-20,"l14_40040",8.454,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"80",2016-04-21,"l14_40040",8.295,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"81",2016-04-22,"l14_40040",7.616,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"82",2016-04-25,"l14_40040",8.414,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"83",2016-04-26,"l14_40040",8.406,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"84",2016-04-27,"l14_40040",8.119,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"85",2016-04-28,"l14_40040",8.266,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"86",2016-04-29,"l14_40040",7.507,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"87",2016-05-02,"l14_40040",7.999,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"88",2016-05-03,"l14_40040",8.185,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"89",2016-05-04,"l14_40040",7.997,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"90",2016-05-05,"l14_40040",7.748,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"91",2016-05-06,"l14_40040",7.426,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"92",2016-05-09,"l14_40040",8.279,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"93",2016-05-10,"l14_40040",8.528,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"94",2016-05-11,"l14_40040",8.907,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"95",2016-05-12,"l14_40040",8.264,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"96",2016-05-13,"l14_40040",7.701,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"97",2016-05-16,"l14_40040",8.63,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"98",2016-05-17,"l14_40040",8.166,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"99",2016-05-18,"l14_40040",8.262,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"100",2016-05-19,"l14_40040",8.229,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"101",2016-05-20,"l14_40040",7.222,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"102",2016-05-23,"l14_40040",8.68,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"103",2016-05-24,"l14_40040",8.579,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"104",2016-05-25,"l14_40040",8.515,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"105",2016-05-26,"l14_40040",8.117,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"106",2016-05-27,"l14_40040",7.425,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"107",2016-05-30,"l14_40040",8.308,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"108",2016-05-31,"l14_40040",8.383,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"109",2016-06-01,"l14_40040",8.487,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"110",2016-06-02,"l14_40040",8.083,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"111",2016-06-03,"l14_40040",7.386,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"112",2016-06-06,"l14_40040",8.34,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"113",2016-06-07,"l14_40040",8.401,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"114",2016-06-08,"l14_40040",8.773,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"115",2016-06-09,"l14_40040",7.757,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"116",2016-06-10,"l14_40040",6.815,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"117",2016-06-13,"l14_40040",1.893,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"118",2016-06-14,"l14_40040",9.333,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"119",2016-06-15,"l14_40040",8.58,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"120",2016-06-16,"l14_40040",8.489,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"121",2016-06-17,"l14_40040",7.899,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"122",2016-06-20,"l14_40040",8.727,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"123",2016-06-21,"l14_40040",8.552,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"124",2016-06-22,"l14_40040",8.54,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"125",2016-06-23,"l14_40040",8.439,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"126",2016-06-24,"l14_40040",7.711,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"127",2016-06-27,"l14_40040",8.741,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"128",2016-06-28,"l14_40040",9.019,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"129",2016-06-29,"l14_40040",8.662,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"130",2016-06-30,"l14_40040",8.274,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"131",2016-07-01,"l14_40040",7.509,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"132",2016-07-04,"l14_40040",9.029,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"133",2016-07-05,"l14_40040",8.624,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"134",2016-07-06,"l14_40040",8.59,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"135",2016-07-07,"l14_40040",8.475,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"136",2016-07-08,"l14_40040",7.664,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"137",2016-07-11,"l14_40040",8.528,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"138",2016-07-12,"l14_40040",8.67,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"139",2016-07-13,"l14_40040",8.438,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"140",2016-07-14,"l14_40040",8.364,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"141",2016-07-15,"l14_40040",6.21,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"142",2016-07-18,"l14_40040",1.641,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"143",2016-07-19,"l14_40040",8.375,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"144",2016-07-20,"l14_40040",8.706,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"145",2016-07-21,"l14_40040",8.816,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"146",2016-07-22,"l14_40040",7.807,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"147",2016-07-25,"l14_40040",8.934,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"148",2016-07-26,"l14_40040",8.76,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"149",2016-07-27,"l14_40040",8.864,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"150",2016-07-28,"l14_40040",8.486,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"151",2016-07-29,"l14_40040",7.784,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"152",2016-08-01,"l14_40040",8.882,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"153",2016-08-02,"l14_40040",8.825,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"154",2016-08-03,"l14_40040",8.89,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"155",2016-08-04,"l14_40040",8.436,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"156",2016-08-05,"l14_40040",7.604,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"157",2016-08-08,"l14_40040",9.034,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"158",2016-08-09,"l14_40040",8.823,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"159",2016-08-10,"l14_40040",9.42,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"160",2016-08-11,"l14_40040",9.348,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"161",2016-08-12,"l14_40040",7.997,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
"162",2016-08-15,"l14_40040",8.921,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)"
