"","lon","lat","name","description","station_id","ADA","Red","Blue","Brn","G","P","Pexp","Y","Pink","Org"
"1",-87.776812,41.870851,"Austin","Austin (Blue Line)","s_40010",0,0,1,0,0,0,0,0,0,0
"2",-87.803176,41.886848,"Harlem/Lake","Harlem/Lake (Green Line)","s_40020",1,0,0,0,1,0,0,0,0,0
"3",-87.725404,41.885412,"Pulaski","Pulaski (Green Line)","s_40030",1,0,0,0,1,0,0,0,0,0
"4",-87.63374,41.878723,"Quincy/Wells","Quincy/Wells (Brown, Orange, Purple & Pink Lines)","s_40040",0,0,0,0,0,0,1,0,1,1
"5",-87.683543,42.04771,"Davis","Davis (Purple Line)","s_40050",1,0,0,0,0,1,1,0,0,0
"6",-87.712359,41.938132,"Belmont","Belmont (Blue Line)","s_40060",0,0,1,0,0,0,0,0,0,0
"7",-87.629296,41.878183,"Jackson","Jackson (Blue Line)","s_40070",1,0,1,0,0,0,0,0,0,0
"8",-87.654929,41.953775,"Sheridan","Sheridan (Red Line)","s_40080",0,1,0,0,0,0,0,0,0,0
"9",-87.678639,41.966286,"Damen","Damen (Brown Line)","s_40090",1,0,0,1,0,0,0,0,0,0
"10",-87.665909,42.008362,"Morse","Morse (Red Line)","s_40100",0,1,0,0,0,0,0,0,0,0
"11",-87.680622,41.829353,"35th/Archer","35th/Archer (Orange Line)","s_40120",1,0,0,0,0,0,0,0,0,1
"12",-87.618487,41.80209,"51st","51st (Green Line)","s_40130",1,0,0,0,1,0,0,0,0,0
"13",-87.751919,42.038951,"Dempster-Skokie","Dempster-Skokie  (Yellow Line)","s_40140",1,0,0,0,0,0,0,1,0,0
"14",-87.724311,41.853732,"Pulaski","Pulaski (Pink Line)","s_40150",1,0,0,0,0,0,0,0,1,0
"15",-87.631739,41.8768,"LaSalle/Van Buren","LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)","s_40160",0,0,0,1,0,0,0,0,0,0
"16",-87.666969,41.885269,"Ashland","Ashland (Green & Pink Lines)","s_40170",1,0,0,0,1,0,0,0,1,0
"17",-87.791602,41.872108,"Oak Park","Oak Park (Blue Line)","s_40180",0,0,1,0,0,0,0,0,0,0
"18",-87.630636,41.831191,"Sox-35th","Sox-35th (Red Line)","s_40190",1,1,0,0,0,0,0,0,0,0
"19",-87.626149,41.884431,"Randolph/Wabash","Randolph/Wabash (Brown, Green, Orange, Pink & Purple Lines)","s_40200",0,0,0,1,1,0,0,0,0,0
"20",-87.675975,41.854517,"Damen","Damen (Pink Line)","s_40210",1,0,0,0,0,0,0,0,1,0
"21",-87.688436,41.875478,"Western","Western (Blue Line - Forest Park Branch)","s_40220",0,0,1,0,0,0,0,0,0,0
"22",-87.838028,41.984246,"Cumberland","Cumberland (Blue Line)","s_40230",1,0,1,0,0,0,0,0,0,0
"23",-87.625112,41.750419,"79th","79th (Red Line)","s_40240",1,1,0,0,0,0,0,0,0,0
"24",-87.70604,41.874341,"Kedzie-Homan","Kedzie-Homan (Blue Line)","s_40250",1,0,1,0,0,0,0,0,0,0
"25",-87.627835,41.88574,"State/Lake","State/Lake (Brown, Green, Orange, Pink & Purple Lines)","s_40260",0,0,0,1,1,0,0,0,0,0
"26",-87.679538,42.033456,"Main","Main (Purple Line)","s_40270",0,0,0,0,0,1,1,0,0,0
"27",-87.76565,41.887389,"Central","Central (Green Line)","s_40280",1,0,0,0,1,0,0,0,0,0
"28",-87.663766,41.77886,"Ashland/63rd","Ashland/63rd (Green Line)","s_40290",1,0,0,0,1,0,0,0,0,0
"29",-87.621371,41.821732,"Indiana","Indiana (Green Line)","s_40300",1,0,0,0,1,0,0,0,0,0
"30",-87.684019,41.804546,"Western","Western (Orange Line)","s_40310",1,0,0,0,0,0,0,0,0,1
"31",-87.666496,41.903355,"Division","Division (Blue Line)","s_40320",0,0,1,0,0,0,0,0,0,0
"32",-87.628021,41.891665,"Grand","Grand (Red Line)","s_40330",1,1,0,0,0,0,0,0,0,0
"33",-87.658668,41.977984,"Berwyn","Berwyn (Red Line)","s_40340",0,1,0,0,0,0,0,0,0,0
"34",-87.649707,41.875474,"UIC-Halsted","UIC-Halsted (Blue Line)","s_40350",1,0,1,0,0,0,0,0,0,0
"35",-87.663619,41.943744,"Southport","Southport (Brown Line)","s_40360",1,0,0,1,0,0,0,0,0,0
"36",-87.62944,41.883164,"Washington","Washington (Blue Line)","s_40370",0,0,1,0,0,0,0,0,0,0
"37",-87.630886,41.885737,"Clark/Lake","Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)","s_40380",1,0,0,0,1,0,1,0,1,1
"38",-87.817318,41.874257,"Forest Park","Forest Park (Blue Line)","s_40390",1,0,1,0,0,0,0,0,0,0
"39",-87.683337,42.058282,"Noyes","Noyes (Purple Line)","s_40400",0,0,0,0,0,1,1,0,0,0
"40",-87.745336,41.85182,"Cicero","Cicero (Pink Line)","s_40420",1,0,0,0,0,0,0,0,1,0
"41",-87.640984,41.875539,"Clinton","Clinton (Blue Line)","s_40430",0,0,1,0,0,0,0,0,0,0
"42",-87.694774,41.854109,"California","California (Pink Line)","s_40440",1,0,0,0,0,0,0,0,1,0
"43",-87.624342,41.722377,"95th/Dan Ryan","95th/Dan Ryan (Red Line)","s_40450",1,1,0,0,0,0,0,0,0,0
"44",-87.633924,41.888969,"Merchandise Mart","Merchandise Mart (Brown & Purple Lines)","s_40460",1,0,0,1,0,0,1,0,0,0
"45",-87.659458,41.87592,"Racine","Racine (Blue Line)","s_40470",0,0,1,0,0,0,0,0,0,0
"46",-87.744698,41.886519,"Cicero","Cicero (Green Line)","s_40480",1,0,0,0,1,0,0,0,0,0
"47",-87.647578,41.891189,"Grand","Grand (Blue Line)","s_40490",0,0,1,0,0,0,0,0,0,0
"48",-87.6278,41.8837,"Washington","Washington (Red Line)","s_40500",0,1,0,0,0,0,0,0,0,0
"49",-87.618327,41.795172,"Garfield","Garfield (Green Line)","s_40510",1,0,0,0,1,0,0,0,0,0
"50",-87.68356,42.05416,"Foster","Foster (Purple Line)","s_40520",0,0,0,0,0,1,1,0,0,0
"51",-87.653131,41.932732,"Diversey","Diversey (Brown & Purple Lines)","s_40530",1,0,0,1,0,0,1,0,0,0
"52",-87.657588,41.964273,"Wilson","Wilson (Red & Purple Lines)","s_40540",1,1,0,0,0,0,0,0,0,0
"53",-87.729229,41.952925,"Irving Park","Irving Park (Blue Line)","s_40550",0,0,1,0,0,0,0,0,0,0
"54",-87.627596,41.878153,"Jackson","Jackson (Red Line)","s_40560",1,1,0,0,0,0,0,0,0,0
"55",-87.69689,41.921939,"California","California (Blue Line)","s_40570",0,0,1,0,0,0,0,0,0,0
"56",-87.75669201,41.85177331,"54th/Cermak","54th/Cermak (Pink Line)","s_40580",1,0,0,0,0,0,0,0,1,0
"57",-87.677437,41.909744,"Damen","Damen (Blue Line)","s_40590",0,0,1,0,0,0,0,0,0,0
